# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	3398
#@/user_id	544a1c7e-cbba-49e6-a52e-1059a45da9cf
ai 	唉	c=1 d=1 t=588
bing 	並	c=22 d=2.17985 t=3126
bing qie 	並且	c=1 d=1 t=2450
bing xing 	並行	c=2 d=1.00492 t=2903
bu 	不	c=4 d=0.558774 t=3205
bu cuo 	不錯	c=1 d=1 t=888
bu da 	不大	c=1 d=1 t=3170
bu dui 	不對	c=2 d=1.01841 t=3352
bu fang 	不妨	c=1 d=1 t=755
bu fen 	部分	c=4 d=1.03575 t=3329
bu fu 	不符	c=1 d=1 t=2793
bu gao 	不高	c=1 d=1 t=1016
bu guo 	不過	c=6 d=2.03691 t=3250
bu hui 	不會	c=7 d=1.95272 t=2720
bu jian yi 	不建議	c=2 d=1.38868 t=2780
bu ju 	佈局	c=1 d=1 t=390
bu ke neng 	不可能	c=1 d=1 t=3187
bu liao jie 	不瞭解	c=1 d=1 t=912
bu neng 	不能	c=3 d=1.96422 t=2861
bu qing xi 	不清晰	c=1 d=1 t=3206
bu shi 	不是	c=5 d=1.00027 t=2860
bu tai 	不太	c=1 d=1.07047 t=678
bu tai hao 	不太好	c=2 d=1.00003 t=2691
bu tai liao jie 	不太瞭解	c=1 d=1 t=609
bu tong 	不同	c=4 d=1.62712 t=2985
bu tong yi 	不同意	c=1 d=1 t=2535
bu wei 	不爲	c=1 d=1 t=3010
bu xu yao 	不需要	c=1 d=1 t=2315
bu yi zhi 	不一致	c=2 d=1.03065 t=2748
bu ying gai 	不應該	c=2 d=1.01089 t=2799
bu yong 	不用	c=1 d=1 t=2338
bu zhi dao 	不知道	c=2 d=1.00032 t=3347
bu zhi shi 	不只是	c=1 d=1 t=807
bu zhou 	步驟	c=1 d=1 t=2790
ca tu 	擦圖	c=1 d=1 t=1783
cai hui 	纔會	c=1 d=1 t=1506
cai yong 	採用	c=1 d=1 t=358
can jian 	參見	c=1 d=1 t=1962
can kao 	參考	c=3 d=1.06996 t=2491
can shu 	參數	c=1 d=1 t=1232
can yu 	參與	c=2 d=1.40052 t=2146
cao zuo 	操作	c=3 d=1.00414 t=3008
ce 	測	c=0 d=0.1 t=3307
ce shi 	測試	c=11 d=2.82575 t=3388
ce su 	測速	c=1 d=1 t=245
ce yi xia 	測一下	c=1 d=1 t=3308
ceng jing 	曾經	c=2 d=1.99005 t=2268
cha bie 	差別	c=1 d=1 t=3091
cha jian 	插件	c=1 d=1 t=2669
cha ru 	插入	c=1 d=1 t=3177
cha yue 	查閱	c=1 d=1 t=3296
chang 	長	c=0 d=0.1 t=1361
chang lian jie 	長鏈接	c=1 d=1 t=1362
chang shi 	嘗試	c=3 d=0.380342 t=2295
chang shi jian 	長時間	c=2 d=1.05642 t=1514
chang shi yi xia 	嘗試一下	c=1 d=1 t=2296
chao kuai 	超塊	c=1 d=1 t=241
che di 	徹底	c=1 d=1 t=2448
chen 	趁	c=1 d=1 t=2293
cheng 	成	c=1 d=1 t=1723
cheng gong 	成功	c=2 d=1.93707 t=1510
cheng xu 	程序	c=1 d=1 t=522
cheng yuan 	成員	c=3 d=1.00971 t=1904
chi jiu 	持久	c=0 d=0.1 t=297
chi jiu xin xi 	持久信息	c=1 d=1 t=298
chong fu 	重複	c=1 d=1 t=3197
chong gou 	重構	c=3 d=0.823324 t=2581
chong gou zhong 	重構中	c=1 d=1 t=2582
chong shi 	重試	c=1 d=1 t=1186
chong tu 	衝突	c=1 d=1 t=3222
chong xin 	重新	c=1 d=1 t=2298
chou ge 	抽個	c=1 d=1 t=2244
chu 	出	c=1 d=1 t=155
chu 	除	c=1 d=1 t=26
chu cuo 	出錯	c=0 d=0.10001 t=2833
chu cuo ti shi 	出錯提示	c=1 d=1 t=2834
chu fa 	觸發	c=4 d=1.00001 t=2730
chu lai 	出來	c=1 d=1 t=2753
chu li 	處理	c=19 d=3.21858 t=3104
chu shi hua 	初始化	c=4 d=1.60585 t=492
chu xian 	出現	c=6 d=1.06462 t=3203
chu yu 	出於	c=1 d=1 t=1911
chu yu 	處於	c=1 d=1 t=656
chuan ru 	傳入	c=2 d=1.89137 t=237
chuang jian 	創建	c=11 d=3.62341 t=2970
ci 	此	c=1 d=1 t=2788
ci ci 	此次	c=1 d=1 t=1508
ci fang 	次方	c=1 d=1 t=451
ci pan 	磁盤	c=3 d=1.71534 t=2802
ci shi 	此時	c=1 d=1 t=2722
ci wai 	此外	c=3 d=1.73028 t=2570
ci wen ti 	此問題	c=1 d=1 t=2672
cong 	從	c=8 d=1.01083 t=2731
cun chu 	存儲	c=3 d=1.02754 t=1324
cun chu dao 	存儲到	c=1 d=1 t=75
cun dao 	存到	c=1 d=1 t=109
cun dao 	村到	c=1 d=1 t=108
cun ru 	存入	c=2 d=1.26847 t=1635
cun zai 	存在	c=1 d=1.00523 t=1048
cuo wu 	錯誤	c=1 d=1 t=380
da 	大	c=1 d=1 t=2590
da an 	答案	c=1 d=1 t=132
da bao 	打包	c=1 d=1 t=3136
da duo 	大多	c=2 d=1.75957 t=2980
da duo shu 	大多數	c=1 d=1 t=956
da gui mo 	大規模	c=6 d=2.14497 t=2820
da gui mo ji qun 	大規模集羣	c=1 d=1 t=1965
da jia 	大家	c=7 d=1.03095 t=3247
da jia hao 	大家好	c=1 d=1 t=3317
da jian 	搭建	c=1 d=1 t=2161
da jiao dao 	打交道	c=1 d=1 t=908
da kai 	打開	c=3 d=2.90256 t=571
da le 	搭了	c=1 d=1 t=2025
da liang 	大量	c=2 d=1.86936 t=1176
da xiao 	大小	c=6 d=1.55889 t=1714
da zhi 	大致	c=1 d=1 t=282
dai ma 	代碼	c=19 d=1.51952 t=3309
dan 	但	c=12 d=1.23178 t=3155
dan ge 	單個	c=1 d=1 t=1647
dan ji 	單機	c=2 d=1.86502 t=2543
dan shi 	但是	c=3 d=1.00032 t=2526
dan xin 	擔心	c=1 d=1 t=2686
dan yuan 	單元	c=0 d=0.1 t=496
dan zai 	但在	c=1 d=1 t=2983
dang 	當	c=3 d=1.97614 t=1435
dang qian 	當前	c=2 d=1.86071 t=1167
dao 	到	c=13 d=1.41756 t=3108
dao ru 	導入	c=1 d=1 t=2393
dao zhi 	導致	c=3 d=1.00063 t=2763
de 	的	c=241 d=11.4901 t=3351
de dao 	得到	c=3 d=1.00007 t=3279
deng 	等	c=1 d=1 t=2143
deng dai 	等待	c=2 d=1.05815 t=1906
deng dao 	等到	c=1 d=1 t=2447
deng deng 	等等	c=2 d=1.01925 t=3215
di fang 	地方	c=3 d=1.20054 t=3046
di san fang 	第三方	c=2 d=1.94176 t=2420
di yi 	第一	c=0 d=0.1 t=469
di yi ci 	第一次	c=1 d=1 t=664
di yi kuai 	第一塊	c=1 d=1 t=470
dian 	點	c=3 d=1.0932 t=2614
dian hua 	電話	c=1 d=1 t=582
dian lu 	電路	c=1 d=1 t=3366
dian xing 	典型	c=1 d=1 t=1582
diao cha 	調查	c=1 d=1 t=2814
diao du 	調度	c=3 d=2.91202 t=2905
diao yong 	調用	c=11 d=2.71859 t=3013
ding 	定	c=1 d=1 t=630
ding yi 	定義	c=2 d=1.0013 t=1561
dong xi 	東西	c=4 d=2.04428 t=3275
dong xing 	董星	c=2 d=1.34819 t=2280
dong yang 	東陽	c=1 d=1 t=901
dou 	都	c=10 d=1.79324 t=3249
dou hao 	逗號	c=1 d=1 t=2648
dou hui 	都會	c=1 d=1 t=746
dou shi 	都是	c=2 d=1.06425 t=842
dou wei 	都爲	c=1 d=1 t=1482
dou you 	都有	c=0 d=0.1 t=10
dou you yi ge 	都有一個	c=1 d=1 t=11
dou zai 	都在	c=0 d=0.1 t=2400
dou zai yong 	都在用	c=1 d=1 t=2401
du qu 	讀取	c=5 d=2.7609 t=1369
duan 	斷	c=1 d=1 t=986
duan 	端	c=5 d=2.63287 t=1502
duan luo 	段落	c=1 d=1 t=3195
dui 	堆	c=1 d=1 t=525
dui 	對	c=12 d=1.12956 t=3245
dui duan 	對端	c=4 d=2.13902 t=1525
dui lie 	隊列	c=3 d=1.69301 t=1886
dui qi 	對齊	c=1 d=1 t=447
dui shi yong zhe 	對使用者	c=1 d=1 t=1050
dui wai 	對外	c=2 d=1.09255 t=1284
dui xiang 	對象	c=4 d=2.49805 t=223
dui ying 	對應	c=4 d=1.00001 t=2952
dui yu 	對於	c=1 d=1 t=1040
duo 	多	c=3 d=1.04398 t=3303
duo ci 	多次	c=1 d=1 t=973
duo ge 	多個	c=5 d=1.76404 t=1909
duo shao ge 	多少個	c=1 d=1 t=771
duo xian cheng 	多線程	c=1 d=1 t=1802
duo xie 	多謝	c=4 d=1.90228 t=3078
e wai 	額外	c=4 d=1.6683 t=532
ei xiao 	誒笑	c=4 d=1.60452 t=2603
er 	而	c=7 d=1.89642 t=2754
er fei 	而非	c=1 d=1 t=1554
er shi 	而是	c=2 d=1.53259 t=1321
er yi 	而已	c=1 d=1 t=3314
fa 	發	c=1 d=1 t=3061
fa bu 	發佈	c=1 d=1 t=2616
fa chu 	發出	c=1 d=1 t=1478
fa hui 	發回	c=1 d=1 t=1492
fa qi 	發起	c=1 d=1 t=1194
fa sheng 	發生	c=2 d=1.15961 t=1526
fa song 	發送	c=19 d=1.06543 t=2704
fa song duan 	發送端	c=14 d=5.04513 t=1577
fa xian 	發現	c=3 d=1.6488 t=3150
fa xiao 	發酵	c=1 d=1 t=1164
fan hui 	返回	c=4 d=1.77155 t=1934
fan wei 	範圍	c=1 d=1 t=2217
fang an 	方案	c=2 d=1.0003 t=1967
fang bian 	方便	c=2 d=1.04416 t=2327
fang fa 	方法	c=4 d=1.66768 t=3185
fang ne 	放呢	c=1 d=1 t=3062
fang shi 	方式	c=5 d=1.00169 t=2552
fang zai 	放在	c=0 d=0.1 t=1589
fang zai le 	放在了	c=1 d=1 t=1590
fei 	費	c=2 d=1 t=3376
fei qi 	廢棄	c=1 d=1.1 t=3230
fen 	分	c=0 d=0.1 t=2509
fen bie 	分別	c=1 d=1 t=1664
fen fa dao 	分發到	c=1 d=1 t=1659
fen ge 	分割	c=1 d=1 t=2649
fen ge 	分隔	c=1 d=1 t=2651
fen gei wo 	分給我	c=1 d=1 t=2510
fen pei 	分配	c=11 d=1.5466 t=1873
fen qu 	分區	c=1 d=1 t=202
fen xi 	分析	c=1 d=1 t=2816
fen xiang 	分享	c=2 d=1.00015 t=2181
fen zhi 	分支	c=2 d=1.25158 t=3123
feng bi 	封閉	c=1 d=1 t=1733
feng zhuang 	封裝	c=1 d=1 t=854
fou ze 	否則	c=1 d=1 t=2963
fu hao 	符號	c=1 d=1.08521 t=99
fu hao biao 	符號表	c=1 d=1 t=3165
fu hao lian jie 	符號鏈接	c=2 d=1.79453 t=114
fu jian 	附件	c=4 d=1.00523 t=3346
fu jian li 	附件裏	c=1 d=1 t=2224
fu le 	服了	c=1 d=1 t=438
fu lei 	父類	c=3 d=2.4282 t=3014
fu shu 	負數	c=1 d=1 t=2698
fu yong 	復用	c=1 d=1 t=1454
fu za 	複雜	c=1 d=1 t=993
fu zai 	負載	c=1 d=1 t=996
fu ze 	負責	c=1 d=1 t=3024
fu zhi 	負值	c=1 d=1 t=2770
gai 	改	c=2 d=1.26714 t=2806
gai 	該	c=25 d=1.61401 t=3323
gai bian 	改變	c=1 d=1 t=1020
gai cheng 	改成	c=2 d=1.03159 t=3214
gai diao 	改掉	c=1 d=1 t=2585
gai dong 	改動	c=3 d=1.40883 t=2782
gai han shu 	該函數	c=1 d=1 t=1870
gai lei 	該類	c=1 d=1 t=2088
gai nian 	概念	c=0 d=0.1 t=5
gan jue 	感覺	c=1 d=1 t=3243
gan xing qu 	感興趣	c=1 d=1 t=914
gao 	高	c=1 d=1 t=997
gao liang 	高亮	c=1 d=1 t=3310
ge 	個	c=5 d=1.00009 t=3038
ge men 	哥們	c=1 d=1 t=576
ge ren 	個人	c=2 d=1.02692 t=3242
ge shi 	格式	c=0 d=0.1 t=46
ge shu 	個數	c=1 d=1 t=545
ge wei 	各位	c=4 d=1.215 t=2610
ge zhong 	各種	c=1 d=1 t=346
ge zi 	各自	c=1 d=1 t=350
gei 	給	c=5 d=1.25531 t=2623
gei wo 	給我	c=0 d=0.1 t=2509
gen 	根	c=1 d=1 t=160
gen ju 	根據	c=10 d=2.25477 t=2207
gen zong 	跟蹤	c=1 d=1 t=510
geng 	更	c=3 d=1.89182 t=3240
geng duo 	更多	c=2 d=1.96561 t=3265
geng xin 	更新	c=6 d=1.71667 t=2721
gong cheng 	工程	c=2 d=1.62814 t=2395
gong ji jin 	公積金	c=1 d=1 t=1778
gong ju 	工具	c=2 d=1.83527 t=2222
gong neng 	功能	c=4 d=1.79903 t=2978
gong tong 	共同	c=1 d=1 t=1945
gong xiang 	共享	c=5 d=1.00022 t=3271
gong yong 	共用	c=2 d=1.00052 t=2515
gong zuo 	工作	c=6 d=2.19105 t=2842
gou 	夠	c=1 d=1 t=3102
gou tong 	溝通	c=2 d=1.85214 t=3286
gu fen 	股份	c=1 d=1 t=1772
gu ji 	估計	c=1 d=1 t=3379
gua qi 	掛起	c=1 d=1 t=1350
gua zai 	掛載	c=3 d=2.75172 t=193
guan bi 	關閉	c=2 d=1.82283 t=691
guan dao 	管道	c=2 d=1.98769 t=1333
guan dian 	灌點	c=0 d=0.1 t=3303
guan dian shui 	灌點水	c=1 d=1 t=3304
guan diao 	關掉	c=1 d=1 t=661
guan lian 	關聯	c=1 d=1 t=2640
guan yu 	關於	c=3 d=2.12787 t=2511
gui ze 	規則	c=2 d=1 t=2906
guo 	過	c=2 d=1.00494 t=1929
guo cheng 	過程	c=3 d=1.00002 t=3288
guo lai 	過來	c=1 d=1 t=872
guo min dang 	國民黨	c=1 d=1 t=409
hai 	還	c=2 d=1.01005 t=3119
hai mei 	還沒	c=1 d=1 t=3060
hai shi 	還是	c=2 d=1.00002 t=2859
hai you 	還有	c=2 d=1.00132 t=2125
hai zai 	還在	c=1 d=1 t=1731
han shu 	函數	c=8 d=1.084 t=1918
han yi 	含義	c=1 d=1 t=3205
hao 	好	c=2 d=1.00133 t=2206
hao 	號	c=1 d=1 t=2644
hao chu 	好處	c=2 d=1.88692 t=2334
hao de 	好的	c=3 d=1.00644 t=3077
hao yong 	好用	c=1 d=1 t=2035
he 	和	c=37 d=1.95747 t=3262
he bing 	合併	c=1 d=1 t=3125
he bing zhi 	合併之	c=1 d=1 t=465
he fa 	合法	c=1 d=1 t=2546
he shi 	何時	c=3 d=1.10874 t=1245
he shi 	合適	c=5 d=1.00752 t=3244
he shu 	核數	c=1 d=1 t=1816
hen 	很	c=3 d=1.11341 t=3040
hen duo 	很多	c=3 d=1.98622 t=2372
hen hao 	很好	c=1 d=1 t=885
hong 	宏	c=1 d=1 t=332
hou 	後	c=5 d=1.14663 t=3080
hou duan 	後端	c=2 d=1.92774 t=565
hou lai 	後來	c=2 d=1.00001 t=3295
hou mian 	後面	c=1 d=1 t=1253
hou xu 	後續	c=1 d=1 t=3007
hu dong 	互動	c=1 d=1 t=3255
hua 	話	c=9 d=2.36314 t=2537
hua ban 	畫板	c=2 d=1.97045 t=600
hua ban 	花瓣	c=0 d=0.1 t=590
hua ban ni 	花瓣你	c=1 d=1 t=591
huan cun 	緩存	c=1 d=1 t=1713
huan jing 	環境	c=1 d=1 t=2028
huan ying 	歡迎	c=1 d=1 t=3316
hui 	會	c=22 d=1.86499 t=3341
hui diao 	回調	c=1 d=1 t=1083
hui hua 	會話	c=2 d=1.28794 t=1275
hui tou 	回頭	c=2 d=1.04736 t=3302
hui ying 	回應	c=1 d=1 t=1115
hui you 	會有	c=1 d=1 t=2877
huo 	或	c=1 d=1 t=2599
huo qu 	獲取	c=8 d=1.0107 t=3000
huo zhe 	或者	c=9 d=1.31624 t=3285
ji 	即	c=2 d=1.19014 t=985
ji 	既	c=1 d=1 t=1648
ji ben 	基本	c=1 d=1 t=3157
ji cheng 	繼承	c=1 d=1 t=1826
ji cheng 	集成	c=2 d=1.97531 t=1973
ji chu 	基礎	c=0 d=0.1 t=5
ji chu gai nian 	基礎概念	c=1 d=1 t=6
ji chu shang 	基礎上	c=1 d=1 t=366
ji ci 	幾次	c=1 d=1 t=3149
ji duan 	即斷	c=1 d=1 t=1014
ji ge 	幾個	c=5 d=1.11408 t=3154
ji huo 	激活	c=1 d=1 t=2883
ji jin 	基金	c=1 d=1 t=875
ji ke 	即可	c=2 d=1.02945 t=3357
ji lei 	基類	c=1 d=1 t=1821
ji lu 	記錄	c=4 d=1.51532 t=3027
ji lu le 	記錄了	c=1 d=1 t=277
ji lu shi yong xin xi 	記錄使用信息	c=1 d=1 t=535
ji qi 	機器	c=4 d=1.00313 t=3075
ji qun 	集羣	c=5 d=1.14541 t=3074
ji qun zu 	集羣組	c=1 d=1 t=1944
ji shu 	技術	c=1 d=0.112034 t=1770
ji shu 	計數	c=1 d=1 t=211
ji xu 	繼續	c=4 d=1.10391 t=2761
ji ya 	擠壓	c=1 d=1 t=1169
ji ya 	積壓	c=1 d=1 t=1174
ji zhong 	幾種	c=1 d=1 t=480
ji zhong 	集中	c=1 d=1 t=2278
jia ru 	加入	c=1 d=1 t=1885
jia shang 	加上	c=1 d=1 t=689
jia yi 	加一	c=0 d=0.1 t=1979
jia yi xia 	加一下	c=1 d=1 t=1980
jia zai 	加載	c=8 d=2.16127 t=2821
jian ban 	簡版	c=1 d=1 t=1948
jian ce 	檢測	c=1 d=0.130047 t=1074
jian ce dao 	檢測到	c=1 d=1 t=1075
jian cha 	檢查	c=5 d=2.60424 t=2949
jian dan 	簡單	c=9 d=2.2896 t=3041
jian jie 	簡介	c=2 d=1.00255 t=3398
jian li 	建立	c=2 d=1.26865 t=1009
jian li lian jie 	建立鏈接	c=1 d=1 t=988
jian pan 	鍵盤	c=1 d=1 t=3359
jian shao 	減少	c=1 d=1 t=1134
jian shi 	監視	c=1 d=1 t=1305
jian ting 	監聽	c=0 d=0.1 t=1618
jian ting dao 	監聽到	c=1 d=1 t=1619
jian yao 	簡要	c=1 d=1 t=3035
jian yi 	建議	c=13 d=3.15353 t=3210
jiang 	將	c=24 d=1.88563 t=3283
jiang 	蔣	c=1 d=1 t=900
jiang di 	降低	c=1 d=1 t=2600
jiang hui 	將會	c=2 d=1.00012 t=2964
jiang lai 	將來	c=4 d=1.01549 t=3325
jiang qi 	將其	c=1 d=1 t=297
jiao ben 	腳本	c=2 d=1.03119 t=3137
jiao da 	較大	c=0 d=0.1 t=507
jiao da zhi 	較大值	c=1 d=1 t=508
jiao hu 	交互	c=2 d=1.94176 t=1391
jiao liu 	交流	c=1 d=1 t=3253
jie 	婕	c=1 d=1 t=2014
jie dian 	節點	c=6 d=1.61347 t=1293
jie gou 	結構	c=1 d=1 t=229
jie guo 	結果	c=5 d=1.78635 t=3389
jie he 	結合	c=1 d=1 t=1638
jie jue 	解決	c=3 d=1.61101 t=2775
jie kou 	接口	c=10 d=1.80623 t=2969
jie lun 	結論	c=1 d=1 t=3281
jie shao 	介紹	c=2 d=1.92774 t=2249
jie shao yi xia 	介紹一下	c=1 d=1 t=2625
jie shi 	解釋	c=2 d=1.45841 t=3208
jie shou 	接收	c=8 d=2.95603 t=1653
jie shou dao 	接受到	c=1 d=1 t=1498
jie shou duan 	接收端	c=12 d=1.01417 t=2707
jie shu 	結束	c=2 d=1.97077 t=1273
jie shu le 	結束了	c=1 d=1 t=125
jin 	僅	c=3 d=1.00011 t=3292
jin 	進	c=1 d=1 t=3293
jin du 	進度	c=2 d=1.97045 t=2466
jin lai 	近來	c=1 d=1 t=2402
jin liang 	儘量	c=1 d=1 t=3099
jin tian 	今天	c=2 d=1.00127 t=3333
jin xing 	進行	c=8 d=4.46497 t=3127
jin yong 	禁用	c=1 d=1 t=2758
jin zai 	僅在	c=5 d=1.59582 t=3200
jin zhan 	進展	c=1 d=1 t=2459
jing guo 	經過	c=1 d=1 t=787
jing tai 	靜態	c=2 d=1.63763 t=486
jing yan 	經驗	c=1 d=1 t=891
jiu 	就	c=3 d=1.01537 t=2561
jiu hui 	就會	c=1 d=1 t=947
jiu jing 	究竟	c=1 d=1 t=410
jiu shi 	就是	c=2 d=1.97531 t=3368
jiu zhe me 	就這麼	c=1 d=1 t=124
ju li 	距離	c=1 d=1 t=3248
ju xian xing 	侷限性	c=1 d=1 t=970
jue de 	覺得	c=1 d=1 t=3252
jue ding 	決定	c=2 d=1.00008 t=2212
jun 	均	c=1 d=1 t=348
ka tong 	卡通	c=1 d=1 t=413
kai zhan 	開展	c=2 d=1.96561 t=2485
kai zhen 	開診	c=1 d=1 t=2484
kan 	看	c=1 d=1 t=2528
kan dao 	看到	c=1 d=1 t=384
kan kan 	看看	c=2 d=1.01545 t=2866
kan yi xia 	看一下	c=3 d=2.0811 t=2120
kao lv 	考慮	c=10 d=1.20196 t=3224
kao qin 	考勤	c=1 d=1 t=2003
ke 	可	c=5 d=1.02735 t=3228
ke cong 	可從	c=2 d=1.26448 t=1940
ke du 	可讀	c=2 d=1.80252 t=1357
ke hu duan 	客戶端	c=1 d=1 t=2889
ke neng 	可能	c=12 d=1.71862 t=3326
ke yi 	可以	c=33 d=1.55886 t=3282
ke yi le 	可以了	c=1 d=1 t=1759
ke yong 	可用	c=1 d=1 t=543
kong 	空	c=2 d=1 t=2946
kong jian 	空間	c=1 d=1 t=3227
kong xian 	空閒	c=1 d=1 t=471
kong zhi 	控制	c=2 d=1.98813 t=1332
kong zhi guan dao 	控制管道	c=1 d=1 t=1307
kong zhi quan 	控制權	c=1 d=1 t=1353
ku 	庫	c=1 d=1 t=2421
kua ping tai 	跨平臺	c=2 d=1.66034 t=2457
kuai 	塊	c=3 d=0.304686 t=922
kuai 	快	c=0 d=0.1 t=95
kuai she bei 	塊設備	c=3 d=2.56154 t=257
kuai she bei 	快設備	c=1 d=1 t=96
kuan song 	寬鬆	c=1 d=1 t=2189
lai 	來	c=28 d=2.61766 t=3017
lai jiang 	來講	c=2 d=1.08046 t=1122
lai shuo 	來說	c=1 d=1 t=1406
lang fei 	浪費	c=1 d=1 t=91
le 	了	c=15 d=1.0115 t=3378
lei 	類	c=0 d=0.1 t=2918
lei si 	類似	c=2 d=1.07847 t=2900
lei tu 	類圖	c=1 d=1 t=3385
lei xing 	類型	c=5 d=1.00212 t=2839
li 	力	c=1 d=1 t=3377
li 	李	c=1 d=1 t=1766
li 	裏	c=2 d=0.412216 t=2223
li hui 	黎輝	c=4 d=1.04858 t=2869
li ji 	立即	c=1 d=1 t=1890
li jie 	理解	c=1 d=1 t=858
li lun 	理論	c=1 d=1 t=1098
li mian 	裏面	c=5 d=1.28316 t=2366
li ru 	例如	c=2 d=1.03897 t=1901
li shi 	歷史	c=1 d=1 t=136
li yu 	利於	c=1 d=1 t=856
lian 	連	c=1 d=0.262838 t=1726
lian biao 	鏈表	c=1 d=1 t=218
lian jie 	連接	c=6 d=1.02007 t=1753
lian jie 	鏈接	c=5 d=0.637353 t=1361
lian ru 	鏈入	c=1 d=1 t=1327
lian tiao 	聯調	c=1 d=1 t=2819
lian tong 	聯通	c=1 d=1 t=246
lian wang 	聯網	c=0 d=0.1 t=1727
lian wang le 	聯網了	c=1 d=1 t=1728
lian wang luo 	連網絡	c=1 d=1 t=1727
liang 	兩	c=1 d=1 t=1004
liang ci 	兩次	c=1 d=1 t=3204
liang ge 	兩個	c=1 d=1 t=549
liang kuai 	兩塊	c=2 d=1.97531 t=460
liang tai 	兩臺	c=1 d=1 t=1660
liang tian 	兩天	c=0 d=0.1 t=3379
liang zhe 	兩者	c=1 d=1 t=1641
liao jie 	瞭解	c=0 d=0.1 t=608
lie 	列	c=0 d=0.18781 t=2742
lie biao 	列表	c=0 d=0.1 t=139
lie miao shu 	列描述	c=1 d=1 t=2717
lie shu xing 	列屬性	c=1 d=1 t=2743
lin shi 	臨時	c=0 d=0.1 t=556
lin shi biao 	臨時表	c=1 d=1 t=557
ling cun 	另存	c=1 d=1 t=3355
ling huo 	靈活	c=1 d=1 t=760
ling wai 	另外	c=4 d=1.32661 t=2795
ling wai yi ge 	另外一個	c=1 d=1 t=554
ling you 	另有	c=1 d=1 t=394
liu wei 	劉威	c=5 d=2.0878 t=2604
long 	龍	c=1 d=1 t=1591
lu jing 	路徑	c=1 d=1 t=200
luan ma 	亂碼	c=1 d=1 t=2656
lun tan 	論壇	c=5 d=3.87937 t=3301
ma 	碼	c=0 d=0.1 t=1563
ma fan 	麻煩	c=3 d=1.04626 t=2864
ma kai 	馬凱	c=1 d=1 t=1991
ma shang 	馬上	c=1 d=1 t=946
man 	滿	c=1 d=1 t=3030
mao si 	貌似	c=2 d=1.94649 t=3371
me 	麼	c=6 d=1.05863 t=2867
mei 	沒	c=2 d=1.10646 t=871
mei ge 	每個	c=11 d=1.97651 t=1606
