# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	59920
#@/user_id	a3f7dcb2-0928-4193-a2ba-17639e20d824
a 	啊	c=69 d=1.27665 t=59808
bai xue 	白雪	c=1 d=1 t=47196
ban 	半	c=3 d=1.00103 t=44012
ban 	版	c=29 d=0.0791249 t=59920
ban 	班	c=4 d=1 t=41537
ban 	辦	c=2 d=1 t=29437
ban ben 	版本	c=48 d=1.11677 t=59920
ban ben hao 	版本號	c=4 d=1.91851 t=57877
ban ben kong zhi 	版本控制	c=1 d=1 t=50808
ban can fei 	半殘廢	c=1 d=1 t=8088
ban fa 	辦法	c=7 d=0.044601 t=59920
ban fa le 	辦法了	c=1 d=1 t=37375
ban fou 	版否	c=1 d=1 t=59752
ban ge 	半個	c=1 d=1 t=15568
ban ge xiao shi 	半個小時	c=1 d=1 t=33229
ban hui 	半會	c=3 d=1.11387 t=14591
ban sui 	伴隨	c=2 d=1 t=50543
ban tian 	半天	c=5 d=1 t=41536
ban tian jia 	半天假	c=2 d=1.956 t=19260
ban xiao shi 	半小時	c=3 d=1 t=31977
ban yun gong 	搬運工	c=1 d=1 t=40409
bang 	幫	c=1 d=1 t=45871
bang ding 	綁定	c=15 d=1.75157e-06 t=59920
bang ding cheng 	綁定成	c=1 d=1 t=34818
bang mang 	幫忙	c=96 d=0.384215 t=59920
bang ni 	幫你	c=3 d=1 t=54800
bang ni kan 	幫你看	c=1 d=1 t=44413
bang shang 	幫上	c=0 d=0.1 t=15457
bang shang dian mang 	幫上點忙	c=1 d=1 t=15458
bang wo 	幫我	c=2 d=1 t=53212
bang zhu 	幫助	c=20 d=2.68611e-07 t=59920
bang zhu qi 	幫助其	c=1 d=1 t=12476
bang zhuan 	幫轉	c=1 d=1 t=16119
bao 	包	c=12 d=9.18825e-05 t=59920
bao 	報	c=7 d=1 t=55944
bao bei 	報備	c=1 d=1 t=52512
bao chi 	保持	c=24 d=0.353494 t=59920
bao chu 	報出	c=6 d=1 t=59793
bao chu lai 	報出來	c=2 d=1.04285 t=9878
bao chu le 	報出了	c=2 d=1 t=36231
bao cun 	保存	c=8 d=0.539702 t=59920
bao cun dao 	保存到	c=1 d=1 t=26667
bao cuo 	報錯	c=41 d=1.90484 t=56324
bao cuo de 	報錯的	c=1 d=1 t=19855
bao cuo le 	報錯了	c=2 d=1 t=13353
bao cuo xin xi 	報錯信息	c=1 d=1 t=12174
bao di 	保底	c=2 d=1 t=36451
bao gao 	報告	c=5 d=1.37344 t=59627
bao ge 	報個	c=1 d=1 t=57711
bao guo 	報過	c=1 d=1 t=28202
bao han 	包含	c=17 d=6.48589e-05 t=59920
bao han dui xiang 	包含對象	c=1 d=4.59827e-08 t=59920
bao han le 	包含了	c=4 d=5.39612e-08 t=59920
bao han you 	包含有	c=1 d=5.00622e-08 t=59920
bao han zai 	包含在	c=1 d=0.1 t=58358
bao han zai le 	包含在了	c=1 d=1 t=58359
bao hu 	保護	c=5 d=1.03355 t=46820
bao kuo 	包括	c=59 d=0.0122481 t=59920
bao le 	報了	c=1 d=1 t=48477
bao liu 	保留	c=9 d=0.272532 t=59920
bao lu 	暴露	c=1 d=1 t=26507
bao qian 	抱歉	c=13 d=0.818731 t=59920
bao tou 	包頭	c=1 d=4.58562e-05 t=59920
bao wan 	報完	c=1 d=1 t=30695
bao xian 	保險	c=0 d=3.05061e-05 t=59920
bao xian le 	保險了	c=1 d=0.00030659 t=59920
bao yuan 	抱怨	c=1 d=1 t=20466
bao zhang 	暴漲	c=1 d=1 t=17476
bao zheng 	保證	c=29 d=0.431769 t=59920
bao zhi 	保質	c=1 d=1 t=16719
bao zhong 	保重	c=1 d=1 t=24824
bao zhuang 	包裝	c=2 d=1 t=46210
bei 	倍	c=2 d=1 t=48581
bei 	唄	c=2 d=1.0052 t=13405
bei 	被	c=82 d=0.0418527 t=59920
bei cha 	備查	c=1 d=1 t=40072
bei fen 	備份	c=11 d=1.79956 t=50717
bei fen jie dian 	備份節點	c=1 d=1 t=49263
bei fen wei 	被分爲	c=1 d=1 t=42947
bei hou 	背後	c=1 d=1 t=35894
bei jing 	北京	c=2 d=1 t=50865
bei jing 	背景	c=1 d=1 t=53402
bei jing zhi shi 	背景知識	c=1 d=1 t=50867
bei ren 	被人	c=1 d=1 t=16815
bei shui 	被誰	c=1 d=1 t=11100
bei wang 	備忘	c=1 d=1 t=59581
bei wo 	被我	c=1 d=1 t=57838
bei yan suo 	北研所	c=1 d=1 t=27506
bei zhan 	被佔	c=1 d=1 t=35339
bei zhi xing 	被執行	c=1 d=0.000655574 t=59920
bei zhu 	備註	c=1 d=1 t=58162
ben 	本	c=3 d=1 t=59095
ben ci 	本次	c=13 d=1.01522 t=59685
ben ci cao zuo 	本次操作	c=1 d=1 t=5217
ben di 	本地	c=27 d=0.00311855 t=59920
ben di wen jian xi tong 	本地文件系統	c=1 d=1 t=42158
ben jie 	本節	c=3 d=0.00245409 t=59920
ben lai 	本來	c=7 d=1 t=46078
ben li 	本例	c=2 d=1.956 t=43154
ben qi 	本期	c=1 d=1 t=32799
ben shen 	本身	c=26 d=0.0285814 t=59920
ben wen 	本文	c=2 d=1 t=59236
ben ye 	本頁	c=1 d=0.373439 t=59920
ben yue 	本月	c=3 d=1.97531 t=22960
ben zhou 	本週	c=3 d=0.0636211 t=59920
beng 	崩	c=1 d=1 t=12950
beng kui 	崩潰	c=1 d=1 t=13185
bi 	比	c=36 d=0.88692 t=59920
bi dui 	比對	c=2 d=1 t=49291
bi ji 	筆記	c=2 d=1.86071 t=42046
bi jiao 	比較	c=59 d=0.0222181 t=59920
bi jiao da 	比較大	c=4 d=1 t=56352
bi jiao di 	比較低	c=1 d=1 t=52495
bi jiao duo 	比較多	c=5 d=1 t=43694
bi jiao hao 	比較好	c=1 d=1 t=33812
bi jiao kuai 	比較塊	c=1 d=4.22285e-06 t=59920
bi jiao man 	比較慢	c=2 d=1 t=37795
bi jiao qiong 	比較窮	c=1 d=1 t=29808
bi jiao shao 	比較少	c=1 d=1 t=57621
bi jiao shu 	比較熟	c=1 d=3.12837e-06 t=59920
bi jing 	畢竟	c=7 d=1.69132e-06 t=59920
bi kai 	避開	c=1 d=1 t=37780
bi li 	比例	c=0 d=0.1 t=48604
bi li le 	比例了	c=1 d=1 t=48605
bi mian 	避免	c=30 d=0.4471 t=59920
bi mian le 	避免了	c=1 d=6.52526e-08 t=59920
bi ru 	比如	c=82 d=0.0103401 t=59920
bi ru shuo 	比如說	c=1 d=1 t=25170
bi wo 	比我	c=1 d=1 t=8620
bi wu 	筆誤	c=3 d=1 t=53791
bi xian 	必現	c=1 d=1 t=20436
bi xu 	必須	c=16 d=1 t=53327
bi xu yong 	必須用	c=1 d=1 t=48063
bi yao 	必要	c=9 d=1 t=59535
bian 	編	c=6 d=1 t=54959
bian 	變	c=2 d=1.48919 t=9871
bian 	邊	c=2 d=1.99005 t=19778
bian bu guo 	編不過	c=1 d=1 t=11680
bian chang 	變長	c=2 d=0.1 t=42582
bian chang kuai 	變長塊	c=1 d=1 t=42583
bian cheng 	編程	c=5 d=1.07531 t=57725
bian cheng 	變成	c=14 d=0.0430669 t=59920
bian cheng le 	變成了	c=2 d=1 t=50526
bian cheng zhong 	編程中	c=1 d=1 t=57726
bian chu lai 	編出來	c=1 d=1 t=26693
bian da 	變大	c=1 d=1 t=34154
bian de 	編的	c=1 d=1 t=26836
bian de 	變得	c=8 d=1.93239 t=58499
bian dong 	變動	c=1 d=1 t=5156
bian geng 	變更	c=4 d=1 t=37031
bian hao 	編號	c=1 d=1 t=5160
bian hua 	變化	c=14 d=1.00003 t=48520
bian ji 	編輯	c=3 d=1.90937 t=37971
bian ji qi 	編輯器	c=4 d=1 t=24520
bian jie 	邊界	c=0 d=0.1 t=30803
bian jie zhi 	邊界值	c=1 d=1 t=30804
bian kuai 	變快	c=1 d=1 t=11327
bian le 	變了	c=2 d=1 t=56252
bian li 	便利	c=2 d=1 t=23026
bian li 	遍歷	c=4 d=1 t=52187
bian liang 	變量	c=37 d=0.000576371 t=59920
bian liang shi hou 	變量時候	c=1 d=1 t=39089
bian ma 	編碼	c=48 d=0.267004 t=59920
bian man 	變慢	c=3 d=1 t=57992
bian man le 	變慢了	c=1 d=1 t=11320
bian qian 	變遷	c=1 d=1 t=10967
bian shang 	邊上	c=2 d=1.94176 t=14841
bian tai 	變態	c=1 d=1 t=47191
bian wan 	編完	c=1 d=0.1 t=52026
bian wan ne 	編完呢	c=1 d=1 t=52027
bian wei 	變爲	c=1 d=1 t=50327
bian xia 	編下	c=1 d=1 t=10077
bian xie 	編寫	c=5 d=0.242926 t=59920
bian xie mu di 	編寫目的	c=1 d=1 t=46162
bian yi 	編譯	c=86 d=3.92694 t=59920
bian yi dan yuan 	編譯單元	c=1 d=1 t=22765
bian yi de hua 	編譯的話	c=1 d=1 t=38466
bian yi ge 	編一個	c=1 d=1 t=11406
bian yi guo 	編譯過	c=1 d=1 t=17599
bian yi hao 	編譯好	c=1 d=1 t=15365
bian yi hou 	編譯後	c=1 d=1 t=25906
bian yi ji 	編譯機	c=3 d=1.12471 t=51973
bian yi jiao ban 	編譯攪拌	c=1 d=1 t=12956
bian yi jiao ben 	編譯腳本	c=12 d=0.008271 t=59920
bian yi jie shu 	編譯結束	c=2 d=1.99501 t=9221
bian yi jin 	編譯進	c=3 d=1.95243 t=54855
bian yi jin lai 	編譯進來	c=2 d=1.77105 t=38509
bian yi le 	編譯了	c=1 d=1 t=58127
bian yi qi 	編譯器	c=13 d=1.8781 t=59815
bian yi qi 	編譯期	c=2 d=1 t=42864
bian yi sao miao 	編譯掃描	c=1 d=1 t=9163
bian yi shi 	編譯時	c=1 d=1 t=15827
bian yi shi hou 	編譯時候	c=1 d=1 t=22789
bian yi xia 	編譯下	c=1 d=1 t=21776
bian yi xuan xiang 	編譯選項	c=1 d=1 t=51871
bian yi yi bian 	編譯以便	c=1 d=1 t=22805
bian yi zhong 	編譯中	c=1 d=1 t=39318
bian yu 	便於	c=15 d=1.00204 t=58772
biao 	標	c=0 d=0.1 t=5208
biao 	表	c=59 d=0.00153381 t=59920
biao cheng 	標成	c=1 d=1 t=29225
biao chong 	標重	c=2 d=1 t=22088
biao chong 	表重	c=1 d=1 t=19338
biao da 	表達	c=3 d=1 t=45242
biao da shi 	表達式	c=1 d=1 t=15510
biao dian 	標點	c=1 d=1 t=50892
biao ding yi 	表定義	c=5 d=1.00003 t=21481
biao ge 	表格	c=6 d=1.00807 t=38567
biao hao 	標號	c=1 d=1 t=5104
biao hong 	標紅	c=2 d=0.0112206 t=59920
biao ji 	標記	c=12 d=0.0204391 t=59920
biao ji cheng 	標記成	c=2 d=1 t=38690
biao ji wei 	標記未	c=2 d=1 t=13232
biao ji yi xia 	標記一下	c=2 d=0.0222592 t=59920
biao li mian 	表裏面	c=1 d=1 t=16966
biao mian 	表面	c=1 d=1 t=46331
biao ming 	表明	c=5 d=6.76372e-05 t=59920
biao qian 	標籤	c=1 d=1 t=5203
biao shi 	標識	c=15 d=0.000354202 t=59920
biao shi 	表示	c=30 d=7.41522e-05 t=59920
biao shi le 	表示了	c=2 d=1 t=52403
biao shu 	表述	c=1 d=1 t=11212
biao ti 	標題	c=2 d=0.00118265 t=59920
biao xian 	表現	c=4 d=1.13903 t=17125
biao xian chu 	表現出	c=2 d=1 t=51079
biao xian zai 	表現在	c=1 d=1 t=56183
biao zhong 	表中	c=1 d=1 t=31648
biao zhun 	標準	c=8 d=4.90625e-06 t=59920
bie 	別	c=37 d=0.00196437 t=59920
bie de 	別的	c=18 d=1 t=53208
bie dong 	別動	c=1 d=1 t=50817
bie gai le 	別改了	c=1 d=1 t=26459
bie mai 	別買	c=0 d=0.1 t=27739
bie mai le 	別買了	c=1 d=1 t=27740
bie qi 	別騎	c=0 d=0.1 t=37800
bie qi le 	別騎了	c=1 d=1 t=37801
bie ren 	別人	c=17 d=3.03591e-06 t=59920
bie ti 	別提	c=1 d=1 t=27461
bie ting 	別挺	c=1 d=1 t=21074
bie wang ji 	別忘記	c=1 d=0.0197421 t=59920
bie yong 	別用	c=1 d=1 t=44027
bing 	並	c=190 d=0.953627 t=59920
bing bu 	並不	c=6 d=1.67244 t=59297
bing bu da 	並不大	c=1 d=1 t=14401
bing bu hui 	並不會	c=1 d=1 t=6848
bing bu neng 	並不能	c=1 d=1 t=58959
bing bu shi 	並不是	c=2 d=1 t=58607
bing bu tai 	並不太	c=1 d=1 t=38344
bing bu ying gai 	並不應該	c=1 d=1 t=46772
bing fa 	併發	c=68 d=1.79886 t=57949
bing fa shu 	併發數	c=4 d=1.0098 t=29049
bing fei 	並非	c=3 d=1 t=49690
bing fen 	並分	c=1 d=1 t=27903
bing guo 	冰過	c=0 d=0.1 t=3996
bing jiang 	並將	c=1 d=1 t=28673
bing mei you 	並沒有	c=1 d=1 t=38261
bing qie 	並且	c=9 d=0.00873865 t=59920
bing xing 	並行	c=63 d=0.377187 t=59920
bing yong 	並用	c=2 d=1 t=47682
bing you 	並由	c=2 d=1 t=55081
bing zai 	並在	c=1 d=1 t=26286
bo fang 	播放	c=1 d=1 t=22432
bo li 	剝離	c=1 d=0.783861 t=51608
bo li 	玻璃	c=0 d=0.1 t=13316
bo li chang 	玻璃廠	c=1 d=1 t=13317
bo li fu hao biao 	剝離符號表	c=1 d=1 t=51609
bu 	不	c=100 d=0.212884 t=59920
bu 	步	c=1 d=1 t=53475
bu 	部	c=1 d=1 t=19329
bu an quan 	不安全	c=1 d=1 t=38202
bu bao 	不保	c=1 d=1 t=39465
bu bao cuo 	不報錯	c=1 d=1 t=20456
bu bi 	不必	c=3 d=1.06473 t=50662
bu bi deng dai 	不必等待	c=1 d=1 t=50576
bu bi yao 	不必要	c=1 d=1 t=10926
bu bian 	不變	c=2 d=1 t=32696
bu cai yong 	不採用	c=1 d=1 t=57972
bu can jia 	不參加	c=1 d=1 t=26920
bu cha 	不差	c=1 d=1 t=27835
bu cha 	不查	c=1 d=1 t=54365
bu chao guo 	不超過	c=2 d=1.00001 t=48035
bu cheng 	不成	c=0 d=0.1 t=14029
bu chong 	補充	c=7 d=1 t=51191
bu chong xia 	補充下	c=1 d=1 t=31921
bu chu 	不出	c=2 d=1 t=46603
bu chu lai 	不出來	c=1 d=0.10167 t=13258
bu chu shi hua 	不初始化	c=1 d=1 t=39111
bu cun 	不存	c=1 d=1 t=4167
bu cun zai 	不存在	c=1 d=1 t=35392
bu cuo 	不錯	c=9 d=3.5449e-06 t=59920
bu da 	不大	c=14 d=0.319819 t=59920
bu dai 	不帶	c=1 d=1 t=15100
bu dang ji 	不宕機	c=1 d=1 t=7281
bu dao 	不到	c=8 d=2.88504 t=59707
bu deng 	補登	c=1 d=1 t=59592
bu diao 	不掉	c=1 d=1 t=36158
bu ding 	補丁	c=12 d=1.00097 t=54964
bu ding qi 	不定期	c=1 d=1 t=35062
bu duan 	不斷	c=7 d=1.00068 t=53762
bu dui 	不對	c=17 d=0.809161 t=59920
bu duo 	不多	c=5 d=1.00023 t=23596
bu fang 	不妨	c=1 d=1.82305e-06 t=59920
bu fen 	部分	c=36 d=0.733539 t=59920
bu fu 	不符	c=3 d=0.0485578 t=59920
bu fu za 	不複雜	c=1 d=1 t=30484
bu gai bian 	不改變	c=1 d=1 t=34756
bu gan 	不幹	c=1 d=1 t=35030
bu gan 	不敢	c=2 d=1 t=45866
bu gao 	不高	c=2 d=6.72284e-06 t=59920
bu gei 	補給	c=0 d=0.1 t=17565
bu gei jia 	不給加	c=1 d=1 t=20388
bu gei wo 	補給我	c=1 d=1 t=17566
bu gou 	不夠	c=15 d=1.91393 t=48933
bu gou yong 	不夠用	c=2 d=1.36604 t=40035
bu gu ding 	不固定	c=1 d=1 t=56218
bu guan 	不管	c=5 d=1 t=55605
bu guang 	不光	c=1 d=1 t=32060
bu guo 	不過	c=26 d=0.971838 t=59920
bu guo lai 	不過來	c=1 d=1 t=9511
bu han 	不含	c=1 d=1 t=47789
bu hao 	不好	c=11 d=1 t=57736
bu hao kan 	不好看	c=1 d=1 t=38412
bu hao shi 	不耗時	c=1 d=1 t=58222
bu hao shuo 	不好說	c=1 d=1 t=31735
bu hao yi si 	不好意思	c=2 d=1.98511 t=23264
bu he fa 	不合法	c=3 d=2.70533 t=51289
bu he shi 	不合適	c=1 d=1 t=13870
bu hui 	不會	c=48 d=0.0658236 t=59920
bu huo 	捕獲	c=1 d=1 t=11619
bu ji lu 	不記錄	c=1 d=1 t=15037
bu jia 	不加	c=3 d=1.00043 t=45556
bu jian 	不見	c=1 d=1 t=52024
bu jian 	部件	c=1 d=1 t=7754
bu jian de 	不見得	c=1 d=1 t=26914
bu jian rong 	不兼容	c=1 d=1 t=50953
bu jian yi 	不建議	c=4 d=0.0631877 t=59920
bu jie 	不解	c=1 d=1 t=52850
bu jie neng 	不節能	c=1 d=1 t=20336
bu jin 	不盡	c=2 d=1 t=58960
bu jin jin 	不僅僅	c=2 d=1 t=35862
bu jin qu 	不進去	c=0 d=0.1 t=21671
bu jin ren yi 	不盡任意	c=1 d=1 t=56181
bu jiu 	不久	c=1 d=1 t=22722
bu ju 	佈局	c=3 d=2.93908e-07 t=59920
bu kai 	不開	c=4 d=0.1 t=54793
bu kan 	不看	c=1 d=1 t=17737
bu ke 	不可	c=0 d=0.199501 t=57347
bu ke neng 	不可能	c=1 d=0.348192 t=59920
bu ke qi 	不客氣	c=2 d=1 t=31690
bu ke qu 	不可去	c=1 d=1 t=57347
bu ke qu 	不可取	c=1 d=1 t=57348
bu lai 	不來	c=1 d=1 t=19808
bu li jie 	不理解	c=2 d=1 t=54269
bu liao 	不了	c=6 d=0.865788 t=53236
bu liao jie 	不瞭解	c=4 d=3.99687e-06 t=59920
bu man 	不滿	c=1 d=1 t=25204
bu man zu 	不滿足	c=6 d=1.00242 t=47363
bu men 	部門	c=3 d=1 t=59903
bu ming bai 	不明白	c=1 d=1 t=8674
bu ming bu bai 	不明不白	c=1 d=1 t=16323
bu nan 	不難	c=2 d=1.07172 t=38030
bu neng 	不能	c=33 d=0.134001 t=59920
bu neng yong 	不能用	c=1 d=1 t=35017
bu pa 	不怕	c=1 d=1 t=56071
bu pi pei 	不匹配	c=1 d=1 t=57885
bu qi lai 	不起來	c=0 d=0.1 t=7916
bu qi yong 	不啓用	c=3 d=0.1 t=53464
bu qi yong shi 	不啓用時	c=1 d=1 t=53465
bu qi zuo yong 	不起作用	c=2 d=1 t=50934
bu qiao 	不巧	c=3 d=1.9802 t=55365
bu qing chu 	不清楚	c=7 d=1 t=39018
bu qing chu le 	不清楚了	c=1 d=1 t=5849
bu qing xi 	不清晰	c=1 d=0.382893 t=59920
bu qu 	不去	c=8 d=1 t=48224
bu qu le 	不去了	c=4 d=1 t=41340
bu quan 	不全	c=7 d=1 t=41105
bu quan mian 	不全面	c=2 d=1 t=32682
bu que ding 	不確定	c=4 d=1 t=56030
bu ran 	不然	c=1 d=1 t=57792
bu rang 	不讓	c=1 d=1 t=29818
bu rang mai 	不讓買	c=1 d=1 t=20378
bu ren shi 	不認識	c=1 d=1 t=8654
bu ren wei 	不認爲	c=1 d=1 t=39389
bu ru 	不如	c=2 d=1 t=38352
bu shang 	不上	c=1 d=1 t=54700
bu shang 	補上	c=2 d=1 t=54699
bu shao 	不少	c=5 d=1 t=59451
bu shi 	不是	c=94 d=0.0842025 t=59920
bu shi ba 	不是吧	c=1 d=1 t=50936
bu shi ying gai 	不是應該	c=1 d=1 t=19668
bu shu 	不熟	c=3 d=1 t=32261
bu shu 	部署	c=19 d=0.207699 t=59715
bu shu dao 	部署到	c=1 d=1 t=59716
bu shu fu 	不舒服	c=1 d=1 t=36323
bu shu xi 	不熟悉	c=2 d=1 t=21895
bu shu zai 	部署在	c=1 d=1 t=47723
bu song 	不送	c=1 d=1 t=51834
bu suan 	不算	c=2 d=1 t=44774
bu suan hao 	不算好	c=1 d=1 t=10830
bu tai 	不太	c=13 d=1.32791e-06 t=59920
bu tai da 	不太大	c=4 d=1 t=54413
bu tai duo 	不太多	c=1 d=1 t=14167
bu tai gao 	不太高	c=1 d=1 t=28112
bu tai hao 	不太好	c=3 d=0.0291596 t=59920
bu tai hao nong 	不太好弄	c=1 d=1 t=15900
bu tai he li 	不太合理	c=1 d=1 t=11587
bu tai he shi le 	不太合適了	c=1 d=1 t=26904
bu tai li xiang 	不太理想	c=1 d=1 t=56182
bu tai liao jie 	不太瞭解	c=1 d=8.78544e-07 t=59920
bu tai mang 	不太忙	c=1 d=1 t=6620
bu tai you hao 	不太友好	c=1 d=1 t=18489
bu tai zhun 	不太準	c=1 d=1 t=45086
bu tai zhun que 	不太準確	c=2 d=1 t=50837
bu ti 	不提	c=1 d=1 t=56724
bu ting 	不停	c=2 d=1.97045 t=5524
bu ting 	不聽	c=2 d=1.86502 t=17609
bu tong 	不同	c=52 d=0.206349 t=59920
bu tong 	不通	c=1 d=1 t=53192
bu tong yi 	不同意	c=1 d=0.0133665 t=59920
bu wan 	不玩	c=0 d=0.1 t=47058
bu wan quan 	不完全	c=2 d=1.86071 t=42045
bu wan shan 	不完善	c=1 d=1 t=13763
bu wei 	不爲	c=2 d=0.143704 t=59920
bu wen ding 	不穩定	c=1 d=1 t=19375
bu wen ti 	不問題	c=1 d=1 t=31807
bu wu zheng ye 	不務正業	c=1 d=1 t=16484
bu xia 	不下	c=1 d=1 t=18788
bu xiang 	不像	c=1 d=1 t=28789
bu xiang 	不想	c=2 d=0.1 t=58186
bu xiang dong 	不想動	c=1 d=1 t=58187
bu xiang qu le 	不想去了	c=1 d=1 t=7295
bu xiao 	不小	c=1 d=1 t=59272
bu xiao xin 	不小心	c=2 d=1.99005 t=37214
bu xing 	不行	c=2 d=1 t=37661
bu xu yao 	不需要	c=10 d=0.00444934 t=59920
bu xu yao suo 	不需要鎖	c=1 d=1 t=24649
bu yao 	不要	c=4 d=1.0005 t=41047
bu yao qiu 	不要求	c=1 d=1 t=45193
bu yi 	不以	c=1 d=1 t=14435
bu yi ding 	不一定	c=7 d=1.94176 t=49775
bu yi yang 	不一樣	c=14 d=1.956 t=56967
bu yi zhi 	不一致	c=21 d=0.0399626 t=59920
bu ying gai 	不應該	c=21 d=0.0505815 t=59920
bu ying xiang 	不影響	c=2 d=1 t=19910
bu yong 	不用	c=38 d=0.00499159 t=59920
bu yong le 	不用了	c=6 d=1 t=56734
bu yong xiu 	不用修	c=1 d=1 t=9436
bu za yang 	不咋樣	c=1 d=1 t=31239
bu zai 	不再	c=6 d=1 t=58501
bu zai 	不在	c=1 d=1 t=28349
bu zen me 	不怎麼	c=1 d=1 t=28849
bu zhan 	不佔	c=1 d=1 t=49013
bu zhao ji 	不着急	c=2 d=1 t=45096
bu zheng chang 	不正常	c=2 d=1 t=38587
bu zheng que 	不正確	c=3 d=1.85642 t=27982
bu zhi 	不止	c=2 d=1 t=44271
bu zhi chi 	不支持	c=4 d=1.01162 t=47121
bu zhi dao 	不知道	c=42 d=0.775164 t=59920
bu zhi shi 	不只是	c=5 d=2.36437e-06 t=59920
bu zhou 	步驟	c=7 d=0.0478349 t=59920
bu zhu 	不住	c=0 d=0.1 t=32682
bu zhun que 	不準確	c=7 d=1.72253 t=56669
bu zi jue 	不自覺	c=1 d=1 t=34294
bu zou 	不走	c=1 d=1 t=22589
bu zou 	步驟	c=1 d=1 t=22588
bu zu 	不足	c=9 d=1.0006 t=58008
bu zu gou 	不足夠	c=1 d=1 t=57149
bu zu shi 	不足時	c=1 d=1 t=21955
bu zu yi 	不足以	c=1 d=1 t=24693
bu zuo 	不做	c=1 d=1 t=32314
ca tu 	擦圖	c=1 d=0.000311223 t=59920
cai 	才	c=29 d=1 t=59120
cai 	猜	c=7 d=1 t=55903
cai an gang 	才鞍鋼	c=2 d=1 t=36015
cai ce 	猜測	c=9 d=1.07469 t=48456
cai dui 	纔對	c=4 d=1 t=58425
cai hui 	纔會	c=4 d=7.79066e-05 t=59920
cai ke yi 	纔可以	c=1 d=1 t=26243
cai liao 	材料	c=2 d=1 t=53297
cai neng 	才能	c=16 d=1 t=56989
cai qu 	採取	c=1 d=1 t=24719
cai shi 	纔是	c=3 d=1 t=58742
cai xing 	才行	c=1 d=1 t=27150
cai yong 	採用	c=23 d=0.000119303 t=59920
cai yong le 	採用了	c=1 d=1 t=43243
can dan 	慘淡	c=1 d=1 t=10212
can fei 	殘廢	c=0 d=0.1 t=8087
can jia 	參加	c=7 d=1 t=57563
can jian 	參見	c=5 d=0.0977834 t=59920
can kao 	參考	c=74 d=0.108278 t=59920
can kao le 	參考了	c=2 d=1 t=34350
can kao shu 	參考書	c=1 d=1 t=22450
can le 	慘了	c=1 d=1 t=28830
can liu 	殘留	c=4 d=1 t=49443
can shu 	參數	c=98 d=2.64753e-05 t=59920
can yu 	參與	c=12 d=0.00267674 t=59920
can yu guo 	參與過	c=1 d=1 t=14454
can yu le 	參與了	c=2 d=1.70469 t=16656
cang cu 	倉促	c=1 d=1 t=10845
cao zuo 	操作	c=111 d=0.142863 t=59920
cao zuo dan yuan 	操作單元	c=1 d=1 t=34365
cao zuo le 	操作了	c=2 d=1 t=58949
cao zuo me 	操作麼	c=1 d=1 t=55422
cao zuo shi 	操作時	c=2 d=1.84789 t=46746
cao zuo xi tong 	操作系統	c=1 d=1 t=58437
